date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:42	86659/86659	---M--	200	added ('OK')	application/javascript	etag:%2215283-5b00f8857b280%22	http://ninja-checker.herokuapp.com/assets/js/core/jquery.min.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/assets/js/core/jquery.min.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:45	58031/58031	---M--	200	added ('OK')	application/javascript	etag:%22e2af-5b00f8857b280%22	http://ninja-checker.herokuapp.com/assets/js/core/bootstrap.min.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/assets/js/core/bootstrap.min.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:47	15612/15612	---M--	200	added ('OK')	application/javascript	etag:%223cfc-5b00f8857b280%22	http://ninja-checker.herokuapp.com/assets/js/plugins/bootstrap-notify.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/assets/js/plugins/bootstrap-notify.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:47	4540/4540	---M--	200	added ('OK')	application/javascript	etag:%2211bc-5b00f8857b280%22	http://ninja-checker.herokuapp.com/assets/js/black-dashboard.min.js?v=1.0.0	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/assets/js/black-dashboard.mine209.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:49	19027/19027	---M--	200	added ('OK')	application/javascript	etag:%224a53-5b00f8857b280%22	http://ninja-checker.herokuapp.com/assets/demo/demo.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/assets/demo/demo.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:51	157844/157844	---M--	200	added ('OK')	application/javascript	etag:%2226894-5b00f8857b280%22	http://ninja-checker.herokuapp.com/assets/js/plugins/chartjs.min.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/assets/js/plugins/chartjs.min.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:54	28122/28122	---MCZ	200	added ('OK')	application/javascript	etag:W/%220ef87a75c23d155df04f797e991d465b%22	https://cdn.trackjs.com/agent/v3/latest/t.js	C:/My%20Web%20Sites/Ninja/cdn.trackjs.com/agent/v3/latest/t.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:55	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/Ninja/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:55	20536/20536	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-5038%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.4/umd/popper.min.js	C:/My%20Web%20Sites/Ninja/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.4/umd/popper.min.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:57	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-c75f%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	C:/My%20Web%20Sites/Ninja/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:51:59	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2013:21:57%20GMT	http://ninja-checker.herokuapp.com/Ninja.png	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/Ninja.png	(from http://ninja-checker.herokuapp.com/CCGen.php)
18:51:59	210061/210061	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f1f-3348d%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.11/js/mdb.min.js	C:/My%20Web%20Sites/Ninja/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.11/js/mdb.min.js	(from http://ninja-checker.herokuapp.com/skcheck.php)
18:52:01	1780/1780	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Dec%202020%2013:21:59%20GMT	http://ninja-checker.herokuapp.com/	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/index.html	(from http://ninja-checker.herokuapp.com/CCGen.php)
18:52:02	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2013:22:00%20GMT	http://ninja-checker.herokuapp.com/images/logo.png?5294b12fea91754d39d8c1ccd5716627	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/images/logo.2b1f44.delayed	(from http://ninja-checker.herokuapp.com/CCGen.php)
18:52:02	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2013:22:00%20GMT	http://ninja-checker.herokuapp.com/edge/	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/edge/index.html	(from http://ninja-checker.herokuapp.com/CCGen.php)
18:52:06	2877/2877	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b3d-5b632d88ce485%22	http://resources.infolinks.com/js/infolinks_main.js	C:/My%20Web%20Sites/Ninja/resources.infolinks.com/js/infolinks_main.js	(from http://ninja-checker.herokuapp.com/CCGen.php)
18:52:07	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Ninja/www.google-analytics.com/analytics.js	(from http://ninja-checker.herokuapp.com/CCGen.php)
18:52:11	2990/2990	---M--	200	added ('OK')	text/css	etag:%22bae-5b00f8857b280%22	http://ninja-checker.herokuapp.com/css/style.css	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/css/style.css	(from http://ninja-checker.herokuapp.com/)
18:52:15	9973/9973	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2014%20Dec%202020%2013:22:12%20GMT	https://kit.fontawesome.com/a81368914c.js	C:/My%20Web%20Sites/Ninja/kit.fontawesome.com/a81368914c.js	(from http://ninja-checker.herokuapp.com/)
18:52:17	7441/7441	---M--	200	added ('OK')	image/svg+xml	etag:%221d11-5b00f8857b280%22	http://ninja-checker.herokuapp.com/img/bg.svg	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/img/bg.svg	(from http://ninja-checker.herokuapp.com/)
18:52:18	2163/2163	---M--	200	added ('OK')	image/svg+xml	etag:%22873-5b00f8857b280%22	http://ninja-checker.herokuapp.com/img/avatar.svg	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/img/avatar.svg	(from http://ninja-checker.herokuapp.com/)
18:52:19	2120/2120	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Dec%202020%2013:22:17%20GMT	http://ninja-checker.herokuapp.com/Register.php	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/Register.html	(from http://ninja-checker.herokuapp.com/)
18:52:21	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2013:22:20%20GMT	http://ninja-checker.herokuapp.com/js/main.js	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/js/main.33.delayed	(from http://ninja-checker.herokuapp.com/)
18:52:47	800940/800940	---M--	200	added ('OK')	image/png	etag:%22c38ac-5b00f8857b280%22	http://ninja-checker.herokuapp.com/img/wave.png	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/img/wave.png	(from http://ninja-checker.herokuapp.com/)
18:52:48	1778/1778	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Dec%202020%2013:22:46%20GMT	http://ninja-checker.herokuapp.com/login.php	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/login.html	(from http://ninja-checker.herokuapp.com/Register.php)
